baseline,AQL,MAE,RMSE,coverage80,AIW
climatology (train quantiles),29.15046569746995,75.20372303906866,393.802675417304,80.69528053627052,175.89011287248442
constant = train median,37.60186151953433,75.20372303906866,393.802675417304,0.0,0.0
seasonal naive,39.869885039329525,96.0273007551829,546.9661032358805,83.92518870043257,229.5303807258606
