model,epochs,prep_s,s_per_epoch,train_s,val_s,test_s,total_s,recorded_s
MRINN,53.25,4.882266011001775,4.1084333839971805,218.77407769784986,20.114405630484725,0.6552928770106519,244.426042216347,276.6
MR-LSTM,58.0,3.1722555220039794,7.060714143000951,409.52142029405513,85.27449348942173,0.904165362007916,498.87233466748876,562.95
MR-GRU,75.5,3.1722555220039794,8.278229201998329,625.0063047508738,109.84048555283334,0.877189263002947,738.8962350887141,800.175
MLP,51.25,4.882266011001775,2.333801544496964,119.60732915546942,29.369477827640367,0.3996700400020927,154.25874303411365,169.75
LSTM,46.0,3.1722555220039794,6.965250056746299,320.40150261032977,50.5445551766461,0.678493747007451,374.7968070559873,411.5
GRU,50.25,3.1722555220039794,8.452049018997059,424.7154632046022,58.92177102724963,0.6626707850082312,487.47216053886405,533.875
AttnBiLSTM,52.0,3.1722555220039794,14.404493748748791,749.0336749349372,100.82170887102257,1.0354551360069308,854.0630944639706,930.7
XGBoost,0.0,3.1722555220039794,,2806.977332052993,,0.49324711100780405,2810.642834686005,3050.775
LQR,571.25,4.882266011001775,0.6276510962488828,358.5456887321743,134.20246519202465,0.189533502998529,497.81995343819926,499.625
