tag,kind,regime,seed,H,known,hembed,horizons,T,stride,da_drop,AQL,MAE,RMSE,AQCR,coverage80,AIW,AQL_h1,AQL_h96,MAE_h1,MAE_h96,skill_slope,AQL_cov,AQL_blk,n_cov,n_blk,Params,TrainSec,best_epoch,n_folds,n_train,n_test
mrinn,mrinn,rolling,42,8,True,True,96,32,2,0.2,25.60334197546145,64.33909577208289,389.15582103598217,0.0,81.77582727421957,160.05473837646204,25.426514421522512,25.609829565735897,63.03700488090508,64.43614154817621,0.18331514421338468,26.64341556760327,23.608900652599235,22689,11832,6135,3536.1,120,4,69920,34521
lstm,lstm,rolling,42,8,True,True,96,32,2,0.2,26.028494917365336,66.25597676732983,389.91973148619763,0.0,80.3309338277184,156.38581895957344,25.597750946950928,26.017510222751916,64.83221373160248,66.5975174870294,0.41975927580098826,26.977059340138315,24.209531243574247,22689,11832,5895,4014.1,119,4,69920,34521
gru,gru,rolling,42,8,True,True,96,32,2,0.2,26.08030991122072,66.82458863326987,390.2732685219098,0.0,80.43223086430481,157.37559094177604,25.78470773779008,26.120612532602404,65.54081129417608,67.70097492468088,0.3359047948123255,26.98055906346229,24.35399542379602,22689,11832,5055,4421.7,118,4,69920,34521
mrinn,mrinn,rolling,43,8,True,True,96,32,2,0.2,7255501529373.532,4157118.7141249627,771361954.3158935,0.0,83.15219359230612,362775013695501.06,7131575536874.115,121475509.68779989,286658.7601109111,315.6659205250214,-7131454061364.428,11039144851864.98,908683.1579241549,22689,11832,6135,3756.0,120,4,69920,34521
lstm,lstm,rolling,43,8,True,True,96,32,2,0.2,26.082538322314406,65.63892047583899,389.5884935504214,0.0,81.568465571681,160.33392980452584,25.51381076713261,26.237589886674062,64.12961010440738,66.14829037341056,0.7237791195414509,27.037965880797895,24.250413924542944,22689,11832,5895,4839.1,120,4,69920,34521
gru,gru,rolling,43,8,True,True,96,32,2,0.2,25.90576697234036,65.28705695735823,389.3803388716647,0.0,82.14438312910981,160.88025800772363,25.38379882029917,25.889811895985076,63.78851138466124,65.21897503587999,0.5060130756859067,26.758381448045373,24.270796566722442,22689,11832,5055,5232.1,120,4,69920,34521
