tag,seed,h,minutes_ahead,AQL,MAE,RMSE,AQCR,coverage80,AIW
mrinn,42,1,15,25.208775329589844,64.09212493896484,388.9678955078125,0.0,83.58680223631993,159.14578247070312
mrinn,42,2,30,25.237917327880858,64.2975082397461,389.0212707519531,0.0,83.31160742736306,158.4199676513672
mrinn,42,3,45,25.356016159057617,64.49076080322266,389.1679992675781,0.0,82.20793140407288,155.963134765625
mrinn,42,4,60,25.37190971374512,64.55355834960938,389.0956726074219,0.0,83.91993279453087,161.95179748535156
mrinn,42,5,75,25.457521057128908,64.77835845947266,389.1093444824219,0.0,83.1986327163176,159.70750427246094
mrinn,42,6,90,25.42939872741699,64.7587890625,389.1720275878906,0.0,83.85330668288867,162.67881774902344
mrinn,42,7,105,25.506839752197266,64.91461944580078,389.26336669921875,0.0,82.67721097303091,158.57083129882812
mrinn,42,8,120,25.500584030151366,64.93235778808594,389.34967041015625,0.0,83.29712349004954,160.54051208496094
mrinn,42,9,135,25.558270263671876,64.9990005493164,389.2665100097656,0.0,82.46284870079083,157.94924926757812
mrinn,42,10,150,25.510150527954103,64.95804595947266,389.1551208496094,0.0,83.89675849482924,162.8002471923828
mrinn,42,11,165,25.58842544555664,65.154052734375,389.2359619140625,0.0,81.57643173720344,155.26585388183594
mrinn,42,12,180,25.518546676635744,65.1014175415039,389.3041687011719,0.0,82.99585759392833,159.50340270996094
mrinn,42,13,195,25.582492065429687,65.18678283691406,389.3432312011719,0.0,81.64016106138293,155.73831176757812
mrinn,42,14,210,25.535109329223634,65.17106628417969,389.37347412109375,0.0,82.78439210915096,159.17584228515625
mrinn,42,15,225,25.56435890197754,65.1520767211914,389.22442626953125,0.0,82.5932041366125,158.58413696289062
mrinn,42,16,240,25.53689956665039,65.2286605834961,389.2012939453125,0.0,82.735146722285,158.7626953125
mrinn,42,17,255,25.62196464538574,65.3108139038086,389.2569580078125,0.0,81.4663538136207,154.5796661376953
mrinn,42,18,270,25.55443115234375,65.26306915283203,389.2339172363281,0.0,83.45355001303555,161.3372344970703
mrinn,42,19,285,25.627618408203126,65.38717651367188,389.33331298828125,0.0,81.96749804466846,156.449951171875
mrinn,42,20,300,25.583621978759766,65.36698150634766,389.3101806640625,0.0,83.722951247067,162.4735870361328
mrinn,42,21,315,25.639507293701172,65.43335723876953,389.3087158203125,0.0,81.58512209959156,154.9529571533203
mrinn,42,22,330,25.589538955688475,65.38866424560547,389.3023376464844,0.0,82.31221575273022,157.4766082763672
mrinn,42,23,345,25.650915908813477,65.42445373535156,389.35211181640625,0.0,81.93853017004142,156.3839111328125
mrinn,42,24,360,25.60594596862793,65.46826934814453,389.3260498046875,0.0,82.63375916109035,158.76251220703125
mrinn,42,25,375,25.6676944732666,65.53883361816406,389.39434814453125,0.0,81.50690883809855,155.40972900390625
mrinn,42,26,390,25.63658676147461,65.54692840576172,389.35809326171875,0.0,83.43037571333392,161.85440063476562
mrinn,42,27,405,25.675385665893554,65.53546142578125,389.404541015625,0.0,82.91764433243533,160.34249877929688
mrinn,42,28,420,25.607265090942384,65.4698486328125,389.36370849609375,0.0,83.36374960169172,161.53135681152344
mrinn,42,29,435,25.625468826293947,65.52628326416016,389.3344421386719,0.0,82.31511254019293,157.8606719970703
mrinn,42,30,450,25.653164291381835,65.56279754638672,389.34893798828125,0.0,82.75252744706121,159.67483520507812
mrinn,42,31,465,25.688316345214844,65.54786682128906,389.35870361328125,0.0,81.1071521682454,154.27908325195312
mrinn,42,32,480,25.63507194519043,65.54991912841797,389.2872009277344,0.0,82.81335998377799,159.65245056152344
mrinn,42,33,495,25.6662166595459,65.53296661376953,389.2722473144531,0.0,82.25138321601344,158.10816955566406
mrinn,42,34,510,25.65102424621582,65.59123992919922,389.29693603515625,0.0,82.71486921004606,159.4993438720703
mrinn,42,35,525,25.68326759338379,65.5367202758789,389.2808532714844,0.0,81.35048231511254,155.50091552734375
mrinn,42,36,540,25.62680854797363,65.51687622070312,389.2607727050781,0.0,82.60189449900061,159.04226684570312
mrinn,42,37,555,25.664756774902344,65.49852752685547,389.2618103027344,0.0,81.94722053242953,156.99864196777344
mrinn,42,38,570,25.63935546875,65.52650451660156,389.32220458984375,0.0,83.21311665363112,161.44615173339844
mrinn,42,39,585,25.656224060058594,65.46259307861328,389.3505554199219,0.0,81.95301410735493,156.8037872314453
mrinn,42,40,600,25.620059967041016,65.48927307128906,389.3580322265625,0.0,82.85970858318126,160.0711669921875
mrinn,42,41,615,25.626436233520508,65.4324722290039,389.3538818359375,0.0,82.01384664407172,157.2734832763672
mrinn,42,42,630,25.607563781738282,65.42328643798828,389.32171630859375,0.0,82.65403667332927,159.2779541015625
mrinn,42,43,645,25.66174774169922,65.42475891113281,389.2809753417969,0.0,82.31800932765563,158.05990600585938
mrinn,42,44,660,25.605509567260743,65.379150390625,389.2909240722656,0.0,83.01323831870455,160.28688049316406
mrinn,42,45,675,25.60912628173828,65.33981323242188,389.2977294921875,0.0,82.50340372526867,158.18203735351562
mrinn,42,46,690,25.578592681884764,65.3035659790039,389.2639465332031,0.0,82.86260537064396,159.7318572998047
mrinn,42,47,705,25.620016860961915,65.3416748046875,389.3117980957031,0.0,81.57353494974073,155.52871704101562
mrinn,42,48,720,25.578929138183593,65.22237396240234,389.29827880859375,0.0,82.83943107094233,159.74151611328125
mrinn,42,49,735,25.64757537841797,65.39614868164062,389.9464111328125,0.0,82.17896352944585,156.89541625976562
mrinn,42,50,750,25.60149688720703,65.29896545410156,389.9974670410156,0.0,82.969786506764,159.4212188720703
mrinn,42,51,765,25.6634521484375,65.37293243408203,390.0230407714844,0.0,81.20853972944005,153.63888549804688
mrinn,42,52,780,25.611692810058592,65.32015228271484,389.9670715332031,0.0,82.735146722285,158.6999053955078
mrinn,42,53,795,25.638874816894532,65.29974365234375,389.9768371582031,0.0,82.12971814257988,156.44918823242188
