tag,kind,regime,seed,H,known,hembed,horizons,T,stride,da_drop,AQL,MAE,RMSE,AQCR,coverage80,AIW,AQL_h1,AQL_h96,MAE_h1,MAE_h96,skill_slope,AQL_cov,AQL_blk,n_cov,n_blk,Params,TrainSec,best_epoch,n_folds,n_train,n_test
mrinn,mrinn,rolling,42,8,True,True,96,32,2,0.2,25.574228394031525,65.19555870691936,389.5432532628377,0.0,82.49380811679846,158.35061120986938,25.208775329589844,25.59552574157715,64.09212493896484,65.3831558227539,0.386750411987304,26.56093241373698,23.68212827245394,22689,11832,6135,3784.3,119,4,69920,34521
lstm,lstm,rolling,42,8,True,True,96,32,2,0.2,25.86975207726161,65.7612070242564,389.56296412150067,0.0,81.03992255921516,154.4782576560974,25.47268600463867,25.814418411254884,64.2654037475586,65.51315307617188,0.34173240661621307,26.797208615144097,24.091264885663985,22689,11832,5895,4334.4,120,4,69920,34521
gru,gru,rolling,42,8,True,True,96,32,2,0.2,25.62911706368129,64.84861862659454,389.37664318084717,0.0,81.77637042186882,157.1035639444987,25.26740417480469,25.637335586547852,63.36533737182617,64.83547973632812,0.36993141174316335,26.533784814675652,23.894329565763474,22689,11832,5055,4985.0,120,4,69920,34521
mrinn,mrinn,rolling,43,8,True,True,96,32,2,0.2,26.61304798920949,67.97428703308105,390.7687638600667,0.0,81.71943044330504,162.24053573608398,26.477669143676756,26.68133087158203,67.612548828125,68.06755065917969,0.20366172790527415,27.930100683371226,24.087472369273502,22689,11832,6135,3806.6,120,4,69920,34521
lstm,lstm,rolling,43,8,True,True,96,32,2,0.2,25.992953403790793,65.5840494632721,389.48082478841144,0.0,83.5579550611705,164.12400499979654,25.479184722900392,25.957324981689453,63.66960144042969,65.22724151611328,0.4781402587890611,26.995969039201736,24.069574509064353,22689,11832,5895,4882.8,119,4,69920,34521
gru,gru,rolling,43,8,True,True,96,32,2,0.2,25.89315224091212,65.21483393510182,389.36214478810626,0.0,84.11109059219991,165.5676712989807,25.372911834716795,25.94288902282715,63.19272232055664,65.14128112792969,0.5699771881103537,26.86551509896914,24.028552921613056,22689,11832,5055,5343.5,120,4,69920,34521
