MODEL,RULES,AQL,MAE,RMSE,sMAPE,MASE,AQCR,PARAMS,cov80,vsCLIM_AQL_%,vsCLIM_MAE_%,train_s,val_s,test_s,total_s,total_min_4f
MRINN,yes,25.81871950614069,66.22229766845703,389.97235107421875,63.1807975769043,0.6847011742065352,0.0,6135.0,82.20956084702065,-11.428063443771219,-11.943117828231165,218.77407769784983,20.114405630484725,0.6552928770106519,244.426042216347,16.2950694810898
MR-LSTM,yes,25.670355281563666,65.28193664550781,389.36962890625,62.73661422729492,0.6749783720800533,0.0,5895.0,79.770465803424,-11.937031624138362,-13.193531400579994,409.52142029405513,85.27449348942173,0.904165362007916,498.8723346674888,33.258155644499254
MR-GRU,yes,25.574069049061094,65.0072250366211,389.37109375,62.23500061035156,0.6721380091238387,0.0,5055.0,82.07817946563928,-12.267344600133468,-13.558819960878276,625.0063047508738,109.84048555283334,0.877189263002947,738.8962350887141,49.25974900591427
MLP,no,25.871076313298037,66.17125701904297,389.6280822753906,63.528076171875,0.6841734427049639,0.0,7533.0,80.76723226441877,-11.248451755409816,-12.01098742215444,119.60732915546942,29.369477827640367,0.3996700400020927,154.25874303411365,10.283916202274243
LSTM,no,25.745754465795887,66.20072937011719,389.6114196777344,63.90049362182617,0.6844781701773959,0.0,7261.0,81.00090645307687,-11.678372330031262,-11.97179755050637,320.40150261032977,50.5445551766461,0.678493747007451,374.7968070559873,24.986453803732488
GRU,no,25.859964328190312,66.79436492919922,390.03961181640625,64.30487060546875,0.6906160267402893,0.0,6309.0,81.40455568108301,-11.28657177293203,-11.182430549971778,424.7154632046022,58.92177102724963,0.6626707850082312,487.4721605388641,32.49814403592428
AttnBiLSTM,no,25.828688423583966,66.51897430419922,389.6349792480469,63.933292388916016,0.6877686431407802,0.0,15302.0,79.94985540202582,-11.3938647561442,-11.548622009202669,749.0336749349372,100.82170887102257,1.0354551360069308,854.0630944639706,56.937539630931376
XGBoost,no,26.34592697873495,67.44332885742188,389.94329833984375,64.6341323852539,0.6973259474062312,2.75094860296654,,79.45338827573555,-9.619461479468427,-10.319492503827089,2806.977332052993,,0.493247111007804,2810.642834686005,187.376188979067
LQR,no,28.022267156780234,74.95820617675781,391.77569580078125,72.13359069824219,0.7750255366039381,18.073303903345725,538080.0,77.57708472137732,-3.86872330435597,-0.3268361034548417,358.5456887321743,134.20246519202465,0.189533502998529,497.81995343819926,33.18799689587995
