tag,kind,regime,seed,H,known,hembed,horizons,T,AQL,MAE,RMSE,AQCR,coverage80,AIW,AQL_h1,AQL_h96,MAE_h1,MAE_h96,skill_slope,AQL_cov,AQL_blk,n_cov,n_blk,Params,TrainSec,best_epoch,n_folds,n_train,n_test,stride,da_drop
gru_no_known,gru,static,42,8,False,True,96,32,27.46941875616709,70.79833388328552,389.249129931132,0.0,77.36081268204174,156.36265214284262,24.914836120605468,26.776203918457032,61.48940658569336,68.51646423339844,1.861367797851564,28.45364388227463,25.56064362128576,23030,11875,5103,2041.7,60,1,46688,34905,,
mrinn_rolling,mrinn,rolling,42,8,True,True,96,32,26.483353515466053,69.08561515808105,390.1773331960042,0.0,80.76071449262768,158.8699720700582,26.345723342895507,26.48577537536621,68.71721649169922,69.186767578125,0.1400520324707024,26.82647639115652,25.82538227637609,22689,11832,6135,2563.6,80,4,69920,34521,,
lstm_static,lstm,static,42,8,True,True,96,32,28.760364389419557,71.63655360539754,389.0253626505534,0.0,73.48383111302105,169.2997005780538,29.430517578125,28.123809814453125,73.150634765625,69.4478530883789,-1.3067077636718736,26.9556410352389,32.26038768291473,23030,11875,5895,1497.1,45,1,46688,34905,,
gru_H10,gru,static,42,10,True,True,96,32,28.12174290021261,72.49973527590434,389.1736078262329,0.0,81.64622427541423,186.45641072591147,27.74218368530273,28.274753189086915,71.04461669921875,72.56761169433594,0.5325695037841811,26.936427175998688,30.420507035652797,23030,11875,7177,2452.7,58,1,46688,34905,,
gru_1step,gru,static,42,8,True,True,1,32,28.59452247619629,70.4828872680664,387.4783935546875,0.0,71.72,162.71490478515625,28.59452247619629,28.59452247619629,70.4828872680664,70.4828872680664,0.0,28.119892883300786,30.46987190246582,27931,7069,4675,872.3,80,1,46736,35000,,
gru_static,gru,static,42,8,True,True,96,32,28.29750733375549,70.54784647623698,388.87031269073486,0.0,73.33894379983765,164.61497004826865,28.294074249267577,28.013751602172853,70.17286682128906,68.78197479248047,-0.2803226470947244,26.819221921761827,31.164447311560316,23030,11875,5055,1898.7,56,1,46688,34905,,
mrinn_static,mrinn,static,42,8,True,True,96,32,28.407537043094635,70.83723958333333,389.0093812942505,0.0,81.32717375734136,184.80459133783972,28.198214721679687,28.29918327331543,70.4199447631836,70.68299865722656,0.1009685516357414,26.45665718714396,32.19101183017095,23030,11875,6135,1461.9,80,1,46688,34905,,
gru_rolling,gru,rolling,42,8,True,True,96,32,26.113483413060507,67.50408180554707,389.8244749704997,0.0,81.18304196479437,157.563072681427,25.74440612792969,26.02978935241699,66.0646743774414,67.05060577392578,0.2853832244873047,26.433258575201037,25.500284030040103,22689,11832,5055,3928.1,80,4,69920,34521,,
gru_no_hembed,gru,static,42,8,True,False,96,32,29.030029229323077,71.47768219312032,389.4346300760905,0.0,74.16407033376306,163.17604764302573,28.765774536132813,29.068093872070317,70.85014343261719,71.5985107421875,0.3023193359375007,27.644595404465992,31.716895349820454,23030,11875,4567,882.1,25,1,46688,34905,,
gru_rolling,gru,rolling,43,8,True,True,96,32,26.49347716172536,68.27585283915202,389.8957764307658,0.0,84.34660544789163,168.94596242904663,26.18296699523926,26.555177688598636,66.61285400390625,67.66571044921875,0.3722106933593743,26.899340565999346,25.715194801489517,22689,11832,5055,3994.5,80,4,69920,34521,,
gru_static,gru,static,43,8,True,True,96,32,34.49279214541117,85.5764905611674,409.3636140823364,0.0,86.30858162631905,257.8159457842509,28.74194107055664,29.185063552856445,73.25157928466797,73.80806732177734,0.4431224822998025,34.49860532681147,34.48151828845342,23030,11875,5055,2287.5,80,1,46688,34905,,
mrinn_static,mrinn,static,43,8,True,True,96,32,29.240474661191303,74.23779694239299,389.8284994761149,0.0,93.52916248865968,254.7234155337016,29.081907653808592,29.303958892822266,74.05158233642578,74.21200561523438,0.2220512390136733,28.81953967412313,30.0568224867185,23030,11875,6135,1488.7,80,1,46688,34905,,
gru_expanding,gru,expanding,42,8,True,True,96,32,27.442406133810678,69.60791317621867,389.9707196553548,0.0,79.09989586039039,173.59261417388916,27.079570770263672,27.49534034729004,68.73172760009766,69.71642303466797,0.4157695770263672,27.426310300827026,27.474169655640917,22996,11653,5055,3532.4,80,3,78768,34649,4.0,0.0
mrinn_expanding,mrinn,expanding,42,8,True,True,96,32,49.05500622193018,119.72421892484029,805.0909887949625,0.0,86.15186705725033,434.1919889450073,64.29049148559571,41.430720520019534,152.40037536621094,102.90760803222656,-22.859770965576175,55.09447650114695,37.1367308139801,22996,11653,6135,2633.5,80,3,78768,34649,4,0.0
gru_roll_noknown,gru,rolling,42,8,False,True,96,32,27.165868703524268,70.23303186893463,390.89824708302814,0.0,81.24867230574627,163.27459637324014,24.421764373779297,26.3332088470459,60.58296585083008,67.4836196899414,1.9114444732666023,28.269397656122845,25.049745617310204,22689,11832,5103,3613.3,80,4,69920,34521,2,0.0
gru_roll_dadrop,gru,rolling,42,8,True,True,96,32,25.75510337750117,64.8302332162857,389.4032096862793,0.0,78.97879792976256,149.32562065124512,25.405994033813478,25.760224533081054,63.3467903137207,64.77125549316406,0.354230499267576,26.673294659455618,23.994382812579474,22689,11832,5055,3661.7,80,4,69920,34521,2,0.2
gru_roll_T96,gru,rolling,42,8,True,True,96,96,26.68485105435053,69.758274157842,391.3571548461914,0.0,74.7678632229194,143.21443152427673,26.337234115600587,26.681140518188478,68.70468139648438,69.182373046875,0.3439064025878906,27.115382242202756,25.868581138054527,22433,11832,5055,4045.5,80,4,34896,34265,4,0.0
gru_expanding,gru,expanding,43,8,True,True,96,32,28.781291623910267,73.30772256851196,393.814741452535,0.0,89.57251051016385,220.4532012939453,28.70439910888672,28.120420455932617,72.33694458007812,71.0280990600586,-0.5839786529541016,29.081178275744122,28.189496221144992,22996,11653,5055,4281.4,80,3,78768,34649,4,0.0
mrinn_expanding,mrinn,expanding,43,8,True,True,96,32,38.38192288080851,98.99643874168396,571.5468311309814,0.0,92.79410420695162,371.74480470021564,37.09939842224121,36.992558288574216,96.05335998535156,90.52336883544922,-0.10684013366699219,40.94968157609304,33.31471476157506,22996,11653,6135,2858.0,80,3,78768,34649,4,0.0
gru_roll_dadrop,gru,rolling,43,8,True,True,96,32,26.007183027267455,65.39664610226949,389.42553456624347,0.0,83.5864401378871,163.9808211326599,25.509580612182617,26.057003784179688,63.391868591308594,65.28599548339844,0.547423171997071,27.018276033798855,24.06831486225128,22689,11832,5055,4068.3,80,4,69920,34521,2,0.2
