,T,AQL,AQCR,AQCE,AIW,MAE,RMSE,Params,TrainSec
Naive (persistence),1.0,14.243902290974109,0.0,0.008117576689739558,70.54657350000004,34.89223214474921,64.99166030149303,0.0,0.0
MRINN (T=1),1.0,12.313652836193103,0.0,2.481203007518795,85.83789825439453,33.17687440520323,57.31287555156421,1799.0,104.9
MRINN (T=8),8.0,12.452438299772078,0.0,6.0866034025818525,84.41513061523438,33.53621512073546,61.29984559522921,2695.0,105.5
MR-LSTM (T=8),8.0,12.210340672293487,0.0,7.437377105240656,88.97705078125,32.072500451149004,56.131910902052574,5511.0,283.7
MR-GRU (T=8),8.0,12.197698054984825,0.0,5.0307771223390585,85.1701431274414,33.00403280216607,56.21073644082983,4615.0,332.6
