tag,seed,h,minutes_ahead,AQL,MAE,RMSE,AQCR,coverage80,AIW
mrinn,42,1,15,25.426514421522512,63.03700488090508,388.6986031141912,0.0,81.95301410735493,163.47821412780456
mrinn,42,2,30,25.51708864659354,63.57140907227822,388.7710656500389,0.0,81.94722053242953,163.54663319418867
mrinn,42,3,45,25.647473564324468,63.81058154282245,388.81611896561543,0.0,80.67842762376524,160.04784290580992
mrinn,42,4,60,25.393542404378103,63.56291140317459,388.7635466693807,0.0,83.74902233423134,166.31646711216948
mrinn,42,5,75,25.601402709186914,63.82982216222442,388.8842866850377,0.0,81.88928478317546,162.16552373560472
mrinn,42,6,90,25.42773986489202,63.927446563668205,388.87002620172746,0.0,83.21891022855652,162.9991892258042
mrinn,42,7,105,25.56895851754673,64.2053023131686,388.993660665964,0.0,81.03183569421512,156.5568531308278
mrinn,42,8,120,25.468083407548328,63.94358276773511,388.93847514901273,0.0,82.56713304944816,160.88841824293274
mrinn,42,9,135,25.551683409057016,64.17759637988681,388.9344957234321,0.0,81.19115900466383,156.14918297522433
mrinn,42,10,150,25.46065664386017,64.08890253869356,388.88790974416446,0.0,83.1957359288549,162.44242041216958
mrinn,42,11,165,25.71447770736981,64.757724559773,388.9855392802924,0.0,79.92236609599954,153.72481022339767
mrinn,42,12,180,25.480450936970634,64.345342656357,388.88350335131713,0.0,82.29193824049129,158.69691284785483
mrinn,42,13,195,25.68490993947654,64.764215073711,388.9921666625466,0.0,80.18597375510559,154.26420793327708
mrinn,42,14,210,25.52408877505901,64.51839598888974,388.97758358994383,0.0,81.8458329712349,157.16581549939292
mrinn,42,15,225,25.5187645891846,64.31249639558293,388.9293294666506,0.0,81.54167028765099,156.20729723568675
mrinn,42,16,240,25.477934789177013,64.44079234878095,388.92156385201235,0.0,81.9211494452652,157.01308383025386
mrinn,42,17,255,25.532303674479238,64.35974344516376,388.91054777088164,0.0,80.27577416644941,152.3466058593974
mrinn,42,18,270,25.494928547703438,64.4051279759997,388.8816756642532,0.0,82.89736682019641,160.49938022441677
mrinn,42,19,285,25.62826661542233,64.69364127245922,388.9650657084207,0.0,80.81167984704962,154.2824602401424
mrinn,42,20,300,25.4125140981999,64.17046995958924,388.87955125397224,0.0,83.36664638915443,162.2216505423819
mrinn,42,21,315,25.65983019089657,64.82516695750881,388.92471717691814,0.0,80.08168940644825,152.15928457599634
mrinn,42,22,330,25.53070791660141,64.51273326852494,388.9063770304657,0.0,81.56194779988992,156.24130240644726
mrinn,42,23,345,25.55904644633082,64.40475755656571,388.95677326261296,0.0,81.05790678137946,154.98815464220436
mrinn,42,24,360,25.50242294311598,64.4574662386302,388.9130863168281,0.0,82.17896352944585,158.60096112497553
mrinn,42,25,375,25.60635751225336,64.69597059241995,388.9623903447025,0.0,80.73926016048203,154.4670331625229
